Task Number,Producer ID,Delay (microseconds)
0,8,119
1,8,37
2,8,139
3,8,228
4,8,348
5,8,482
6,8,565
7,8,626
8,8,718
0,74,705
1,74,765
0,50,752
1,50,785
2,50,883
3,50,851
2,74,756
4,50,712
9,8,823
5,50,790
6,50,788
10,8,794
11,8,550
12,8,602
13,8,631
14,8,639
15,8,690
16,8,731
17,8,676
18,8,649
19,8,621
20,8,584
21,8,523
22,8,160
23,8,218
24,8,280
25,8,331
26,8,350
27,8,384
7,50,414
8,50,426
9,50,555
10,50,613
11,50,626
28,8,606
12,50,351
13,50,341
14,50,365
15,50,398
16,50,449
17,50,475
18,50,494
19,50,500
29,8,472
20,50,244
21,50,285
22,50,374
23,50,422
24,50,469
30,8,577
3,74,587
4,74,638
5,74,632
25,50,646
6,74,676
26,50,666
31,8,614
7,74,600
27,50,567
8,74,505
28,50,501
29,50,497
32,8,464
30,50,17
31,50,37
9,74,12
10,74,17
11,74,87
12,74,112
13,74,138
14,74,142
15,74,474
16,74,575
17,74,626
18,74,724
19,74,775
20,74,822
33,8,767
34,8,799
35,8,835
36,8,881
37,8,603
32,50,644
33,50,629
34,50,566
38,8,603
35,50,601
36,50,417
37,50,460
38,50,551
39,50,598
39,8,690
40,8,668
41,8,680
42,8,723
21,74,739
43,8,762
44,8,746
40,50,746
45,8,702
41,50,718
46,8,665
22,74,625
23,74,633
24,74,603
25,74,615
26,74,608
47,8,631
48,8,578
49,8,597
27,74,578
28,74,600
50,8,597
51,8,650
52,8,687
53,8,667
42,50,672
54,8,639
43,50,640
44,50,673
55,8,692
56,8,616
57,8,676
45,50,688
46,50,658
58,8,696
47,50,643
48,50,718
49,50,686
50,50,665
51,50,637
52,50,643
53,50,684
59,8,700
54,50,696
55,50,645
60,8,686
56,50,693
57,50,642
58,50,675
59,50,708
60,50,782
61,50,737
29,74,739
30,74,687
61,8,620
62,8,759
63,8,736
64,8,726
31,74,352
32,74,419
33,74,464
34,74,506
35,74,606
36,74,684
37,74,758
38,74,723
65,8,620
66,8,666
67,8,661
68,8,655
69,8,710
70,8,725
71,8,669
62,50,631
39,74,618
72,8,321
73,8,358
74,8,384
75,8,422
76,8,463
77,8,452
63,50,24
64,50,108
65,50,147
66,50,182
67,50,219
68,50,289
69,50,357
70,50,405
71,50,476
72,50,509
73,50,536
74,50,502
40,74,497
41,74,500
42,74,540
43,74,525
44,74,518
45,74,263
46,74,346
47,74,379
48,74,462
49,74,492
50,74,526
51,74,510
52,74,492
53,74,487
78,8,461
75,50,437
54,74,355
55,74,370
79,8,83
80,8,88
81,8,110
82,8,130
83,8,147
84,8,168
85,8,167
86,8,205
76,50,18
77,50,52
78,50,94
79,50,117
80,50,138
56,74,136
57,74,216
58,74,257
59,74,305
81,50,323
82,50,363
83,50,399
84,50,453
85,50,511
86,50,544
87,50,594
88,50,572
87,8,502
88,8,526
89,8,526
90,8,438
91,8,476
92,8,473
93,8,442
89,50,433
90,50,527
94,8,508
60,74,95
61,74,133
62,74,149
63,74,170
64,74,188
65,74,207
66,74,222
67,74,239
68,74,256
69,74,293
70,74,294
71,74,296
95,8,208
96,8,243
97,8,289
98,8,318
99,8,336
91,50,198
92,50,217
93,50,236
94,50,277
95,50,307
96,50,331
97,50,345
72,74,103
73,74,94
74,74,105
75,74,132
76,74,183
77,74,251
78,74,253
79,74,292
80,74,344
81,74,360
82,74,383
83,74,371
84,74,335
85,74,355
86,74,328
87,74,242
88,74,269
89,74,304
90,74,42
91,74,17
92,74,116
93,74,211
94,74,293
95,74,326
96,74,352
97,74,380
98,50,399
99,50,427
98,74,393
99,74,367
